customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_segment,cluster,segment
405-1000636-6867517,104,1,3203.16,1,1,4,6,114,1,Occasional Buyers
405-1000871-3377147,63,1,2083.35,3,1,3,7,313,1,Occasional Buyers
405-1001021-1303026,2,1,1105.94,5,1,2,8,512,0,Regular Customers
405-1002142-8644098,112,1,5626.72,1,1,5,7,115,2,High Value Customers
405-1002310-2239837,114,1,5648.7,1,1,5,7,115,2,High Value Customers
405-1002419-6756219,86,1,3295.8,2,1,4,7,214,1,Occasional Buyers
405-1002647-1115422,54,1,446.82,3,1,1,5,311,0,Regular Customers
405-1002649-6419488,80,1,1748.22,2,1,2,5,212,1,Occasional Buyers
405-1002684-5219001,92,1,1265.88,2,1,2,5,212,1,Occasional Buyers
405-1002805-5172517,11,1,2571.82,5,1,4,10,514,0,Regular Customers
405-1003265-3503496,78,1,2380.08,2,1,3,6,213,1,Occasional Buyers
405-1003306-2031566,73,1,6363.75,3,1,5,9,315,2,High Value Customers
405-1003853-6669162,41,1,2581.66,4,1,4,9,414,0,Regular Customers
405-1004074-5601553,33,1,1753.05,4,1,2,7,412,0,Regular Customers
405-1004512-3142339,96,1,1013.14,2,1,1,4,211,1,Occasional Buyers
405-1004542-1523448,43,1,2425.01,4,1,4,9,414,0,Regular Customers
405-1004819-3641484,111,1,3257.06,1,1,4,6,114,1,Occasional Buyers
405-1004977-7994124,37,1,4666.36,4,1,5,10,415,2,High Value Customers
405-1005042-3397974,109,1,2802.84,1,1,4,6,114,1,Occasional Buyers
405-1006857-7507377,43,1,1372.84,4,1,2,7,412,0,Regular Customers
405-1007564-6102966,97,1,531.28,2,1,1,4,211,1,Occasional Buyers
405-1007651-7166225,16,1,1724.67,5,1,2,8,512,0,Regular Customers
405-1007853-2744650,77,1,898.65,2,1,1,4,211,1,Occasional Buyers
405-1007855-9360654,41,1,3777.34,4,1,5,10,415,0,Regular Customers
405-1008417-6721698,83,1,2386.64,2,1,3,6,213,1,Occasional Buyers
405-1008462-8576234,28,1,453.43,4,1,1,6,411,0,Regular Customers
405-1008640-9506298,61,1,4059.8,3,1,5,9,315,2,High Value Customers
405-1008682-3915468,74,1,2722.57,3,1,4,8,314,1,Occasional Buyers
405-1008899-5534011,64,1,3506.82,3,1,4,8,314,1,Occasional Buyers
405-1008935-1971069,91,1,1550.08,2,1,2,5,212,1,Occasional Buyers
405-1009079-6303761,62,1,632.06,3,1,1,5,311,1,Occasional Buyers
405-1009226-6251720,93,1,2253.57,2,1,3,6,213,1,Occasional Buyers
405-1009337-1756510,72,1,2119.64,3,1,3,7,313,1,Occasional Buyers
405-1009524-7135825,95,1,6003.6,2,1,5,8,215,2,High Value Customers
405-1009642-2578037,95,1,327.89,2,1,1,4,211,1,Occasional Buyers
405-1009859-9683532,4,1,3647.64,5,1,4,10,514,0,Regular Customers
405-1010195-5643399,20,1,1534.76,5,1,2,8,512,0,Regular Customers
405-1011062-3696553,22,1,4778.32,5,1,5,11,515,2,High Value Customers
405-1011337-8781265,85,1,1305.49,2,1,2,5,212,1,Occasional Buyers
405-1011537-9740910,81,1,2889.87,2,1,4,7,214,1,Occasional Buyers
405-1011805-9762186,76,1,4625.16,2,1,5,8,215,2,High Value Customers
405-1012455-1384973,61,1,2148.28,3,1,3,7,313,0,Regular Customers
405-1012925-4817563,23,1,808.94,5,1,1,7,511,0,Regular Customers
405-1013017-3738008,80,1,1467.04,2,1,2,5,212,1,Occasional Buyers
405-1013094-5473228,14,1,6560.79,5,1,5,11,515,2,High Value Customers
405-1013222-8630328,63,1,1920.0,3,1,3,7,313,1,Occasional Buyers
405-1013243-4439159,22,1,1147.53,5,1,2,8,512,0,Regular Customers
405-1013841-7540123,61,1,2043.96,3,1,3,7,313,0,Regular Customers
405-1013848-4617487,38,1,3618.14,4,1,4,9,414,0,Regular Customers
405-1013985-2710905,56,1,4014.56,3,1,5,9,315,2,High Value Customers
405-1014064-4949101,59,1,2328.82,3,1,3,7,313,0,Regular Customers
405-1014164-8068755,31,1,4030.96,4,1,5,10,415,0,Regular Customers
405-1014318-9905174,37,1,2613.04,4,1,4,9,414,0,Regular Customers
405-1014378-1218878,69,1,4269.76,3,1,5,9,315,2,High Value Customers
405-1014556-1634776,37,1,1798.76,4,1,3,8,413,0,Regular Customers
405-1014587-2810127,116,1,2707.65,1,1,4,6,114,1,Occasional Buyers
405-1014686-4415646,82,1,2693.51,2,1,4,7,214,1,Occasional Buyers
405-1014838-7962918,37,1,2020.36,4,1,3,8,413,0,Regular Customers
405-1015187-8012240,40,1,3164.92,4,1,4,9,414,0,Regular Customers
405-1015267-5555620,121,1,2990.96,1,1,4,6,114,1,Occasional Buyers
405-1015321-4987811,95,1,2245.25,2,1,3,6,213,1,Occasional Buyers
405-1015428-9809048,104,1,1717.67,1,1,2,4,112,1,Occasional Buyers
405-1015728-5108591,97,1,5038.68,2,1,5,8,215,2,High Value Customers
405-1015735-3608120,119,1,7402.32,1,1,5,7,115,2,High Value Customers
405-1015773-4493584,76,1,4352.16,2,1,5,8,215,2,High Value Customers
405-1016426-7288506,29,1,3277.68,4,1,4,9,414,0,Regular Customers
405-1016592-3446106,22,1,1144.98,5,1,2,8,512,0,Regular Customers
405-1016598-1635767,29,1,1081.91,4,1,2,7,412,0,Regular Customers
405-1016687-6011106,19,1,2707.89,5,1,4,10,514,0,Regular Customers
405-1016769-4266086,16,1,1566.83,5,1,2,8,512,0,Regular Customers
405-1017044-2428733,112,1,4598.46,1,1,5,7,115,1,Occasional Buyers
405-1017336-5670931,11,1,1172.54,5,1,2,8,512,0,Regular Customers
405-1017548-8651859,103,1,819.4,1,1,1,3,111,1,Occasional Buyers
405-1017736-3675071,96,1,2053.68,2,1,3,6,213,1,Occasional Buyers
405-1017875-8377716,117,1,405.39,1,1,1,3,111,1,Occasional Buyers
405-1017933-1811721,95,1,678.54,2,1,1,4,211,1,Occasional Buyers
405-1018014-5231727,85,1,5319.2,2,1,5,8,215,2,High Value Customers
405-1018084-8964493,4,1,2398.96,5,1,4,10,514,0,Regular Customers
405-1018116-1776316,118,1,2563.49,1,1,4,6,114,1,Occasional Buyers
405-1018955-7582553,101,1,2904.94,1,1,4,6,114,1,Occasional Buyers
405-1019628-7537227,67,1,5844.26,3,1,5,9,315,2,High Value Customers
405-1019775-3258079,20,1,914.08,5,1,1,7,511,0,Regular Customers
405-1019938-9533244,45,1,2719.44,4,1,4,9,414,0,Regular Customers
405-1020288-6794004,72,1,8188.97,3,1,5,9,315,2,High Value Customers
405-1020734-7845226,56,1,2889.97,3,1,4,8,314,0,Regular Customers
405-1021154-8832376,8,1,769.7,5,1,1,7,511,0,Regular Customers
405-1021486-8463750,30,1,2083.35,4,1,3,8,413,0,Regular Customers
405-1021957-6683049,56,1,1906.03,3,1,3,7,313,0,Regular Customers
405-1022084-4059923,24,1,515.1,5,1,1,7,511,0,Regular Customers
405-1022476-4975011,113,1,1259.7,1,1,2,4,112,1,Occasional Buyers
405-1022509-8644970,52,1,4697.13,3,1,5,9,315,2,High Value Customers
405-1022878-2186125,73,1,587.15,3,1,1,5,311,1,Occasional Buyers
405-1023211-4550984,116,1,2083.35,1,1,3,5,113,1,Occasional Buyers
405-1023283-1530363,13,1,808.97,5,1,1,7,511,0,Regular Customers
405-1023337-5952226,119,1,4304.72,1,1,5,7,115,1,Occasional Buyers
405-1023891-6025522,44,1,7091.16,4,1,5,10,415,2,High Value Customers
405-1024609-3559807,99,1,4126.54,1,1,5,7,115,1,Occasional Buyers
405-1024662-2361914,122,1,5822.32,1,1,5,7,115,2,High Value Customers
405-1024759-1158375,60,1,1984.57,3,1,3,7,313,0,Regular Customers
405-1024905-1757842,8,1,2091.37,5,1,3,9,513,0,Regular Customers
405-1024968-2952164,45,1,2551.59,4,1,4,9,414,0,Regular Customers
405-1025055-5924545,25,1,2714.26,5,1,4,10,514,0,Regular Customers
405-1025116-2244163,45,1,1783.44,4,1,3,8,413,0,Regular Customers
405-1025307-7039310,115,1,874.53,1,1,1,3,111,1,Occasional Buyers
405-1025328-8430652,16,1,1749.57,5,1,2,8,512,0,Regular Customers
405-1025388-3594450,27,1,862.59,4,1,1,6,411,0,Regular Customers
405-1025778-1636179,46,1,2946.66,4,1,4,9,414,0,Regular Customers
405-1025839-3491991,105,1,4629.34,1,1,5,7,115,2,High Value Customers
405-1025987-4162458,25,1,1982.29,5,1,3,9,513,0,Regular Customers
405-1026249-8504732,35,1,3317.6,4,1,4,9,414,0,Regular Customers
405-1026355-4128360,3,1,851.18,5,1,1,7,511,0,Regular Customers
405-1026474-5606789,116,1,2268.5,1,1,3,5,113,1,Occasional Buyers
405-1026479-6178697,60,1,1222.41,3,1,2,6,312,0,Regular Customers
405-1026523-2983186,119,1,3156.02,1,1,4,6,114,1,Occasional Buyers
405-1026984-8534084,80,1,2350.74,2,1,3,6,213,1,Occasional Buyers
405-1027018-2858631,55,1,4107.6,3,1,5,9,315,2,High Value Customers
405-1027204-2185331,101,1,1094.47,1,1,2,4,112,1,Occasional Buyers
405-1027331-4953449,94,1,424.34,2,1,1,4,211,1,Occasional Buyers
405-1027444-7313038,54,1,1536.9,3,1,2,6,312,0,Regular Customers
405-1027552-4334862,15,1,4605.82,5,1,5,11,515,0,Regular Customers
405-1027553-3602249,37,1,214.85,4,1,1,6,411,0,Regular Customers
405-1028591-9915142,73,1,577.77,3,1,1,5,311,1,Occasional Buyers
405-1028711-6192801,27,1,789.12,4,1,1,6,411,0,Regular Customers
405-1028827-2405250,97,1,1698.13,2,1,2,5,212,1,Occasional Buyers
405-1028972-8283159,80,1,2428.06,2,1,4,7,214,1,Occasional Buyers
405-1028984-8778321,82,1,7028.22,2,1,5,8,215,2,High Value Customers
405-1029540-9160028,26,1,3893.54,4,1,5,10,415,0,Regular Customers
405-1030642-5987733,55,1,872.49,3,1,1,5,311,0,Regular Customers
405-1030710-7612246,76,1,244.04,2,1,1,4,211,1,Occasional Buyers
405-1030898-9078697,55,1,1676.99,3,1,2,6,312,0,Regular Customers
405-1031101-6590762,44,1,1310.33,4,1,2,7,412,0,Regular Customers
405-1031600-2664662,32,1,1441.6,4,1,2,7,412,0,Regular Customers
405-1031909-4896766,31,1,6839.01,4,1,5,10,415,2,High Value Customers
405-1032500-1162860,51,1,5869.62,3,1,5,9,315,2,High Value Customers
405-1033483-3378838,84,1,3182.37,2,1,4,7,214,1,Occasional Buyers
405-1033608-6223083,80,1,811.32,2,1,1,4,211,1,Occasional Buyers
405-1033658-9002700,89,1,294.11,2,1,1,4,211,1,Occasional Buyers
405-1033872-3826530,43,1,2445.64,4,1,4,9,414,0,Regular Customers
405-1033913-4402668,20,1,948.19,5,1,1,7,511,0,Regular Customers
405-1034211-9560997,116,1,1283.22,1,1,2,4,112,1,Occasional Buyers
405-1034314-9796056,33,1,2083.35,4,1,3,8,413,0,Regular Customers
405-1034370-7858203,18,1,2578.34,5,1,4,10,514,0,Regular Customers
405-1034767-1200228,75,1,2621.85,2,1,4,7,214,1,Occasional Buyers
405-1034770-8667769,2,1,235.93,5,1,1,7,511,0,Regular Customers
405-1034830-3514001,97,1,4316.94,2,1,5,8,215,1,Occasional Buyers
405-1035457-9620208,86,1,2570.16,2,1,4,7,214,1,Occasional Buyers
405-1035576-5257689,18,1,2313.47,5,1,3,9,513,0,Regular Customers
405-1035954-1028731,80,1,2062.48,2,1,3,6,213,1,Occasional Buyers
405-1036295-2096537,75,1,989.4,2,1,1,4,211,1,Occasional Buyers
405-1036356-4122139,79,1,1270.72,2,1,2,5,212,1,Occasional Buyers
405-1036854-9059750,61,1,1045.47,3,1,2,6,312,0,Regular Customers
405-1037021-8896777,44,1,4061.7,4,1,5,10,415,2,High Value Customers
405-1037031-1839907,94,1,4604.0,2,1,5,8,215,2,High Value Customers
405-1037414-4567829,120,1,848.12,1,1,1,3,111,1,Occasional Buyers
405-1037819-3468548,16,1,2282.21,5,1,3,9,513,0,Regular Customers
405-1038154-6829661,53,1,1117.4,3,1,2,6,312,0,Regular Customers
405-1038624-5175863,83,1,3263.76,2,1,4,7,214,1,Occasional Buyers
405-1038909-4209869,110,1,4214.5,1,1,5,7,115,1,Occasional Buyers
