date,predicted_revenue
2022-07-01,801913.06
2022-07-02,774918.49
2022-07-03,796785.14
2022-07-04,810696.46
2022-07-05,805452.76
2022-07-06,801894.31
2022-07-07,786216.16
2022-07-08,793284.42
2022-07-09,778428.07
2022-07-10,784364.51
2022-07-11,793913.47
2022-07-12,769752.2
2022-07-13,772808.25
2022-07-14,801675.51
2022-07-15,786229.74
2022-07-16,792048.94
2022-07-17,784004.9
2022-07-18,787772.15
2022-07-19,795343.74
2022-07-20,792966.72
2022-07-21,777428.1
2022-07-22,786235.49
2022-07-23,784379.14
2022-07-24,793625.52
2022-07-25,791089.5
2022-07-26,790065.89
2022-07-27,786308.31
2022-07-28,789060.49
2022-07-29,787711.69
2022-07-30,786951.86
